Thời gian,Máy in (IP),Trạng Thái,Counter
2026-04-17 14:07:03,192.168.1.75,OK,5913130
2026-04-17 14:07:12,192.168.1.37,No SNMP response received before timeout,
2026-04-17 14:07:23,192.168.1.75,OK,5913130
2026-04-17 14:07:36,192.168.1.150,OK,0
2026-04-17 14:08:15,192.168.1.75,OK,5913130
2026-04-17 14:13:15,192.168.1.2,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.3,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.4,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.5,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.6,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.7,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.8,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.9,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.10,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.11,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.12,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.13,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.14,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.15,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.16,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.17,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.18,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.19,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.20,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.21,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.22,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.23,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.24,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.25,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.26,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.27,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.28,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.29,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.30,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.31,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.32,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.33,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.34,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.35,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.36,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.37,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.38,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.39,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.40,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.41,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.42,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.43,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.44,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.45,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.46,No SNMP response received before timeout,
2026-04-17 14:13:15,192.168.1.47,No SNMP response received before timeout,
